t = 0.02; x1 = 0.0296083; x2 = 0.00625063; flag = 2
t = 0.04; x1 = 0.0552798; x2 = 0.00909604; flag = 2
t = 0.06; x1 = 0.0754585; x2 = 0.0113139; flag = 2
t = 0.08; x1 = 0.0910685; x2 = 0.0129921; flag = 2
t = 0.1; x1 = 0.102826; x2 = 0.0142591; flag = 2
t = 0.12; x1 = 0.111402; x2 = 0.0151551; flag = 2
t = 0.14; x1 = 0.117328; x2 = 0.0157491; flag = 2
t = 0.16; x1 = 0.121056; x2 = 0.0161037; flag = 2
t = 0.18; x1 = 0.123006; x2 = 0.0162352; flag = 2
t = 0.2; x1 = 0.123478; x2 = 0.0162189; flag = 2
t = 0.22; x1 = 0.122774; x2 = 0.0160704; flag = 2
t = 0.24; x1 = 0.121158; x2 = 0.0157999; flag = 2
t = 0.26; x1 = 0.118795; x2 = 0.0154694; flag = 2
t = 0.28; x1 = 0.115879; x2 = 0.0150785; flag = 2
t = 0.3; x1 = 0.112578; x2 = 0.0146217; flag = 2
t = 0.32; x1 = 0.108973; x2 = 0.0141507; flag = 2
t = 0.34; x1 = 0.105178; x2 = 0.0136601; flag = 2
t = 0.36; x1 = 0.101291; x2 = 0.0131413; flag = 2
t = 0.38; x1 = 0.0973371; x2 = 0.0126406; flag = 2
t = 0.4; x1 = 0.0933874; x2 = 0.0121435; flag = 2
Adams: 
t = 0.0002; x1 = 0.0467674; x2 = 0.95176; flag = 2
t = 0.0004; x1 = 0.0903754; x2 = 0.906701; flag = 2
t = 0.0006; x1 = 0.131011; x2 = 0.864639; flag = 2
t = 0.006; x1 = 0.173943; x2 = 0.820117
t = 0.008; x1 = 0.482223; x2 = 0.496084
t = 0.01; x1 = 0.64538; x2 = 0.317478
t = 0.012; x1 = 0.72894; x2 = 0.218767
t = 0.014; x1 = 0.768934; x2 = 0.163913
t = 0.016; x1 = 0.785132; x2 = 0.133141
t = 0.018; x1 = 0.788381; x2 = 0.115598
t = 0.02; x1 = 0.784632; x2 = 0.105326
t = 0.022; x1 = 0.777148; x2 = 0.0990575
t = 0.024; x1 = 0.767719; x2 = 0.0949976
t = 0.026; x1 = 0.757323; x2 = 0.0921617
t = 0.028; x1 = 0.746497; x2 = 0.0900089
t = 0.03; x1 = 0.735531; x2 = 0.0882423
t = 0.032; x1 = 0.724586; x2 = 0.0866987
t = 0.034; x1 = 0.713744; x2 = 0.0852883
t = 0.036; x1 = 0.703051; x2 = 0.0839617
t = 0.038; x1 = 0.69253; x2 = 0.0826913
t = 0.04; x1 = 0.682191; x2 = 0.0814621
t = 0.042; x1 = 0.672037; x2 = 0.0802655
t = 0.044; x1 = 0.662071; x2 = 0.0790964
t = 0.046; x1 = 0.65229; x2 = 0.0779522
t = 0.048; x1 = 0.642691; x2 = 0.0768308
t = 0.05; x1 = 0.633272; x2 = 0.0757313
t = 0.052; x1 = 0.624029; x2 = 0.0746528
t = 0.054; x1 = 0.61496; x2 = 0.0735946
t = 0.056; x1 = 0.60606; x2 = 0.0725562
t = 0.058; x1 = 0.597326; x2 = 0.0715371
t = 0.06; x1 = 0.588755; x2 = 0.070537
t = 0.062; x1 = 0.580343; x2 = 0.0695553
t = 0.064; x1 = 0.572088; x2 = 0.0685918
t = 0.066; x1 = 0.563986; x2 = 0.0676461
t = 0.068; x1 = 0.556034; x2 = 0.0667177
t = 0.07; x1 = 0.548229; x2 = 0.0658063
t = 0.072; x1 = 0.540569; x2 = 0.0649117
t = 0.074; x1 = 0.533049; x2 = 0.0640334
t = 0.076; x1 = 0.525667; x2 = 0.0631711
t = 0.078; x1 = 0.51842; x2 = 0.0623245
t = 0.08; x1 = 0.511307; x2 = 0.0614932
t = 0.082; x1 = 0.504323; x2 = 0.0606771
t = 0.084; x1 = 0.497466; x2 = 0.0598756
t = 0.086; x1 = 0.490734; x2 = 0.0590887
t = 0.088; x1 = 0.484125; x2 = 0.0583158
t = 0.09; x1 = 0.477635; x2 = 0.0575569
t = 0.092; x1 = 0.471262; x2 = 0.0568115
t = 0.094; x1 = 0.465004; x2 = 0.0560795
t = 0.096; x1 = 0.458858; x2 = 0.0553605
t = 0.098; x1 = 0.452823; x2 = 0.0546543
t = 0.1; x1 = 0.446896; x2 = 0.0539606
t = 0.102; x1 = 0.441074; x2 = 0.0532792
t = 0.104; x1 = 0.435357; x2 = 0.0526098
t = 0.106; x1 = 0.42974; x2 = 0.0519522
t = 0.108; x1 = 0.424224; x2 = 0.0513061
t = 0.11; x1 = 0.418804; x2 = 0.0506713
t = 0.112; x1 = 0.413481; x2 = 0.0500476
t = 0.114; x1 = 0.408251; x2 = 0.0494348
t = 0.116; x1 = 0.403112; x2 = 0.0488326
t = 0.118; x1 = 0.398064; x2 = 0.0482408
t = 0.12; x1 = 0.393103; x2 = 0.0476592
t = 0.122; x1 = 0.388229; x2 = 0.0470876
t = 0.124; x1 = 0.383439; x2 = 0.0465259
t = 0.126; x1 = 0.378732; x2 = 0.0459737
t = 0.128; x1 = 0.374106; x2 = 0.045431
t = 0.13; x1 = 0.369559; x2 = 0.0448975
t = 0.132; x1 = 0.365091; x2 = 0.044373
t = 0.134; x1 = 0.360699; x2 = 0.0438574
t = 0.136; x1 = 0.356381; x2 = 0.0433504
t = 0.138; x1 = 0.352137; x2 = 0.042852
t = 0.14; x1 = 0.347965; x2 = 0.0423619
t = 0.142; x1 = 0.343863; x2 = 0.04188
t = 0.144; x1 = 0.33983; x2 = 0.0414061
t = 0.146; x1 = 0.335865; x2 = 0.0409401
t = 0.148; x1 = 0.331966; x2 = 0.0404817
t = 0.15; x1 = 0.328132; x2 = 0.0400309
t = 0.152; x1 = 0.324362; x2 = 0.0395875
t = 0.154; x1 = 0.320654; x2 = 0.0391513
t = 0.156; x1 = 0.317008; x2 = 0.0387222
t = 0.158; x1 = 0.313421; x2 = 0.0383001
t = 0.16; x1 = 0.309893; x2 = 0.0378848
t = 0.162; x1 = 0.306423; x2 = 0.0374762
t = 0.164; x1 = 0.303009; x2 = 0.0370742
t = 0.166; x1 = 0.29965; x2 = 0.0366786
t = 0.168; x1 = 0.296346; x2 = 0.0362892
t = 0.17; x1 = 0.293095; x2 = 0.0359061
t = 0.172; x1 = 0.289896; x2 = 0.0355291
t = 0.174; x1 = 0.286748; x2 = 0.0351579
t = 0.176; x1 = 0.28365; x2 = 0.0347926
t = 0.178; x1 = 0.280602; x2 = 0.034433
t = 0.18; x1 = 0.277602; x2 = 0.034079
t = 0.182; x1 = 0.274649; x2 = 0.0337305
t = 0.184; x1 = 0.271742; x2 = 0.0333874
t = 0.186; x1 = 0.268881; x2 = 0.0330496
t = 0.188; x1 = 0.266064; x2 = 0.032717
t = 0.19; x1 = 0.263291; x2 = 0.0323894
t = 0.192; x1 = 0.260561; x2 = 0.0320668
t = 0.194; x1 = 0.257873; x2 = 0.0317491
t = 0.196; x1 = 0.255227; x2 = 0.0314362
t = 0.198; x1 = 0.25262; x2 = 0.031128
t = 0.2; x1 = 0.250054; x2 = 0.0308244
t = 0.202; x1 = 0.247526; x2 = 0.0305253
t = 0.204; x1 = 0.245037; x2 = 0.0302307
t = 0.206; x1 = 0.242584; x2 = 0.0299404
t = 0.208; x1 = 0.240169; x2 = 0.0296544
t = 0.21; x1 = 0.23779; x2 = 0.0293726
t = 0.212; x1 = 0.235446; x2 = 0.0290949
t = 0.214; x1 = 0.233137; x2 = 0.0288213
t = 0.216; x1 = 0.230862; x2 = 0.0285516
t = 0.218; x1 = 0.22862; x2 = 0.0282858
t = 0.22; x1 = 0.226411; x2 = 0.0280238
t = 0.222; x1 = 0.224234; x2 = 0.0277655
t = 0.224; x1 = 0.222089; x2 = 0.0275109
t = 0.226; x1 = 0.219974; x2 = 0.02726
t = 0.228; x1 = 0.217891; x2 = 0.0270125
t = 0.23; x1 = 0.215837; x2 = 0.0267686
t = 0.232; x1 = 0.213812; x2 = 0.026528
t = 0.234; x1 = 0.211816; x2 = 0.0262908
t = 0.236; x1 = 0.209848; x2 = 0.0260569
t = 0.238; x1 = 0.207908; x2 = 0.0258262
t = 0.24; x1 = 0.205996; x2 = 0.0255986
t = 0.242; x1 = 0.20411; x2 = 0.0253742
t = 0.244; x1 = 0.20225; x2 = 0.0251529
t = 0.246; x1 = 0.200416; x2 = 0.0249345
t = 0.248; x1 = 0.198607; x2 = 0.0247191
t = 0.25; x1 = 0.196823; x2 = 0.0245066
t = 0.252; x1 = 0.195063; x2 = 0.0242969
t = 0.254; x1 = 0.193328; x2 = 0.02409
t = 0.256; x1 = 0.191616; x2 = 0.0238858
t = 0.258; x1 = 0.189927; x2 = 0.0236844
t = 0.26; x1 = 0.188261; x2 = 0.0234855
t = 0.262; x1 = 0.186617; x2 = 0.0232893
t = 0.264; x1 = 0.184995; x2 = 0.0230956
t = 0.266; x1 = 0.183394; x2 = 0.0229045
t = 0.268; x1 = 0.181815; x2 = 0.0227158
