p4 = 100.000000,  1: 0.615960, 2: -186.116140 
p4 = 200.000000,  1: 0.751424, 2: 58.118613 
p4 = 300.000000,  1: -4.579856, 2: 509.083168 
p4 = 400.000000,  1: 5.049660, 2: -844.136948 
p4 = 500.000000,  1: -4.572886, 2: -1168.768182 
p4 = 600.000000,  1: 1.346011, 2: -211.185518 
p4 = 700.000000,  1: -12.876300, 2: -1522.874019 
p4 = 800.000000,  1: 37.012972, 2: 299.708586 
p4 = 900.000000,  1: 28.770018, 2: -475.008931 
p4 = 1000.000000,  1: -49.991120, 2: -449.461718 
p4 = 1100.000000,  1: -34.166346, 2: -584.418005 
p4 = 1200.000000,  1: -16.413510, 2: 31.735762 
p4 = 1300.000000,  1: -37.058912, 2: 7.740405 
p4 = 1400.000000,  1: -11.110013, 2: 17.195411 
p4 = 1500.000000,  1: 0.033160, 2:  
